AREA_NM,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MIN,AREA_PPLTN_MAX,MALE_PPLTN_RATE,FEMALE_PPLTN_RATE,PPLTN_RATE_0,PPLTN_RATE_10,PPLTN_RATE_20,PPLTN_RATE_30,PPLTN_RATE_40,PPLTN_RATE_50,PPLTN_RATE_60,PPLTN_RATE_70,RESNT_PPLTN_RATE,NON_RESNT_PPLTN_RATE,REPLACE_YN,PPLTN_TIME,ROAD_MSG,ROAD_TRAFFIC_IDX,ROAD_TRFFIC_TIME,ROAD_TRAFFIC_SPD,ACDNT_CNTRL_CNT,WEATHER_TIME,TEMP,SENSIBLE_TEMP,MAX_TEMP,MIN_TEMP,HUMIDITY,WIND_DIRCT,WIND_SPD,PRECIPITATION,PRECPT_TYPE,PCP_MSG,SUNRISE,SUNSET,UV_INDEX_LVL,UV_INDEX,UV_MSG,PM25_INDEX,PM25,PM10_INDEX,PM10,AIR_IDX,AIR_IDX_MVL,AIR_IDX_MAIN,AIR_MSG,NEWS_LIST
국립중앙박물관·용산가족공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,500,600,48.1,51.9,0.4,8.7,17.8,21.5,20.7,19.4,8.3,3.2,29.6,70.4,N,2023-02-21 22:30,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,원활,2023-02-21 23:00,25,0,2023-02-21 22:01,-0.2,0.7,3,-6,41,ESE,1.6,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,20,보통,37,보통,52.0,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
남산공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,8000,8500,47.5,52.5,0.2,5.7,22.7,21.6,19.7,17.2,8.4,4.6,33.0,67.0,N,2023-02-21 22:30,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,원활,2023-02-21 23:00,27,0,2023-02-21 22:01,-1.9,-0.2,4,-6,46,SE,1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,점검중,0,점검중,0,점검중,점검중,,원본 시스템 서비스 점검중입니다.,
뚝섬한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,50.2,49.8,1.0,9.2,17.9,19.2,16.1,18.2,11.5,6.9,36.8,63.2,N,2023-02-21 22:30,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,원활,2023-02-21 23:00,35,0,2023-02-21 22:01,-0.2,0.7,4,-5,41,ESE,1.6,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,18,보통,33,좋음,50.0,PM-2.5,대기질에 이상이 없어요.,
망원한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,49.8,50.2,0.1,6.0,17.2,22.7,22.0,14.8,10.2,7.0,40.5,59.5,N,2023-02-21 22:30,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,원활,2023-02-21 23:00,33,0,2023-02-21 22:01,-0.5,1.1,3,-6,44,SE,1.1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,좋음,11,좋음,23,보통,53.0,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
반포한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,57.4,42.6,0.0,9.8,19.8,23.1,22.6,16.6,6.0,2.2,7.3,92.7,N,2023-02-21 22:30,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,원활,2023-02-21 23:00,33,0,2023-02-21 22:01,-3.2,-0.8,3,-6,63,ESE,0.7,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,좋음,15,좋음,29,보통,51.0,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
북서울꿈의숲,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3500,4000,47.5,52.5,0.6,6.5,13.0,16.8,17.9,19.5,15.4,10.5,64.7,35.3,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:05,19,0,2023-02-21 22:01,-2.8,2.7,5,-6,49,ESE,0.1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,17,보통,34,보통,59.0,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
서울대공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,700,800,46.4,53.6,0.5,6.6,12.7,20.9,19.9,20.5,12.7,6.1,52.2,47.8,N,2023-02-21 22:30,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,원활,2023-02-21 23:05,31,0,2023-02-21 22:01,-0.9,0.2,4,-5,43,ESE,1.4,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,좋음,15,좋음,29,보통,51.0,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
서울숲공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6000,6500,54.9,45.1,0.2,5.9,19.6,23.2,18.1,17.5,11.9,3.6,18.5,81.5,N,2023-02-21 22:30,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,원활,2023-02-21 23:05,36,0,2023-02-21 22:01,-0.2,0.7,4,-5,41,ESE,1.6,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,좋음,15,보통,35,보통,53.0,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
월드컵공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,53.9,46.1,0.3,6.8,14.8,20.0,25.7,16.0,8.9,7.5,15.8,84.2,N,2023-02-21 22:30,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,원활,2023-02-21 23:05,30,0,2023-02-21 22:01,-2.1,0.9,3,-6,44,ESE,0.5,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,좋음,11,좋음,23,보통,53.0,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
이촌한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,52.5,47.5,0.4,5.5,16.5,21.7,21.5,15.1,11.4,8.0,25.0,75.0,N,2023-02-21 22:30,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,원활,2023-02-21 23:05,26,0,2023-02-21 22:01,-0.5,1.1,3,-6,44,SE,1.1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,20,보통,37,보통,52.0,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
잠실종합운동장,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,58.8,41.2,0.5,11.9,11.9,17.2,28.3,19.0,7.5,3.7,14.3,85.7,N,2023-02-21 22:30,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,원활,2023-02-21 23:05,29,0,2023-02-21 22:01,-1.1,1.9,4,-5,46,SE,0.5,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,16,보통,36,보통,59.0,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
잠실한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,51.7,48.3,0.6,12.5,14.2,16.5,25.0,16.0,10.4,4.8,21.8,78.2,N,2023-02-21 22:30,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,원활,2023-02-21 23:05,44,0,2023-02-21 22:01,0,2.4,4,-5,35,SE,0.7,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,16,보통,36,보통,59.0,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
가로수길,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,16000,51.0,49.0,0.2,7.3,28.3,25.2,18.4,10.5,5.4,4.8,21.4,78.6,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:05,22,0,2023-02-21 22:01,-0.2,0.7,4,-5,41,ESE,1.6,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,17,보통,34,보통,53.0,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
낙산공원·이화마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,200,300,46.3,53.7,1.2,5.6,19.4,14.7,16.6,17.7,13.2,11.7,67.8,32.2,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:05,20,0,2023-02-21 22:01,-1.9,-0.2,4,-6,46,SE,1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,19,보통,37,보통,59.0,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
노량진,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,58.4,41.6,0.0,4.0,42.0,22.0,12.1,10.7,5.6,3.5,26.1,73.9,N,2023-02-21 22:30,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,원활,2023-02-21 23:05,39,0,2023-02-21 22:01,-2.5,-0.4,3,-6,35,SE,0.8,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,20,보통,33,보통,56.0,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
북촌한옥마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,400,500,48.4,51.6,0.2,7.3,10.4,14.2,21.0,20.9,13.2,12.7,70.3,29.7,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:05,17,0,2023-02-21 22:01,-1.9,-0.2,4,-6,46,SE,1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,22,보통,37,보통,59.0,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
성수카페거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4500,5000,53.4,46.6,0.0,5.0,36.6,25.7,14.7,9.4,5.6,3.0,14.8,85.2,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:05,18,0,2023-02-21 22:01,-0.2,0.7,4,-5,41,ESE,1.6,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,좋음,15,보통,35,보통,53.0,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
수유리 먹자골목,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,50.1,49.9,0.1,7.9,28.8,16.7,14.2,14.9,10.3,7.1,38.7,61.3,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:05,16,0,2023-02-21 22:01,-2.8,2.7,5,-6,49,ESE,0.1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,17,보통,34,보통,59.0,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
쌍문동 맛집거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,46.1,53.9,0.0,6.3,23.7,18.6,14.3,16.6,11.7,8.8,44.8,55.2,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:05,19,0,2023-02-21 22:01,-2.8,2.7,5,-6,49,ESE,0.1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,16,보통,32,보통,58.0,O3,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
압구정로데오거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,51.9,48.1,0.1,4.4,31.1,27.2,18.9,10.3,4.7,3.2,15.6,84.4,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:05,18,0,2023-02-21 22:01,-0.2,0.7,4,-5,41,ESE,1.6,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,17,보통,34,보통,53.0,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
여의도,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,34000,36000,54.5,45.5,0.3,5.7,18.9,25.4,21.2,13.9,8.3,6.3,30.1,69.9,N,2023-02-21 22:30,해당 장소로 이동·진입하는 도로가 크게 막히지 않아요.,원활,2023-02-21 23:05,27,0,2023-02-21 22:01,-0.5,1.1,3,-6,44,SE,1.1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,16,좋음,30,좋음,48.0,PM-10,대기질에 이상이 없어요.,
영등포 타임스퀘어,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7500,8000,52.3,47.7,0.1,6.2,35.5,23.6,14.6,10.4,7.0,2.6,15.4,84.6,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:05,19,0,2023-02-21 22:01,-0.5,1.1,3,-6,44,SE,1.1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,16,좋음,30,좋음,48.0,PM-10,대기질에 이상이 없어요.,
인사동·익선동,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9000,9500,57.6,42.4,0.1,5.3,30.7,19.9,16.2,14.9,8.0,4.8,17.1,82.9,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:05,18,0,2023-02-21 22:01,-1.9,-0.2,4,-6,46,SE,1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,22,보통,37,보통,59.0,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
창동 신경제 중심지,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,22000,24000,50.3,49.7,0.4,11.8,24.4,17.0,15.2,15.2,10.1,5.9,36.9,63.1,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:05,20,0,2023-02-21 22:01,-2.8,0.2,4,-7,58,SE,0.5,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,16,보통,32,보통,58.0,O3,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
